id,name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,availability_365,avg_rating,crime_level,crime_incidents_count
11738654,Your home away from home,City of Los Angeles,Del Rey,33.99,-118.43,Entire home/apt,297,344,3.5,2.20454545454545,88
13712429,"Room #2 in clean, quiet, pleasant 4 bedroom house",City of Los Angeles,Del Rey,33.99,-118.43,Private room,50,344,3.474,2.20454545454545,88
14013443,Tiny space with a View,City of Los Angeles,Del Rey,33.99,-118.43,Entire home/apt,112,206,3.463,2.20454545454545,88
14686773,1 Bed Guesthouse on edge of Marina Del Rey,City of Los Angeles,Del Rey,33.99,-118.43,Entire home/apt,125,316,3.5,2.20454545454545,88
16177400,Modern Westside Oasis 3b/3ba with large Yard,Other Cities,Culver City,33.99,-118.43,Entire home/apt,330,181,4.0,2.20454545454545,88
16898990,Marina del Rey Spanish Garden Guest House,City of Los Angeles,Del Rey,33.99,-118.43,Entire home/apt,90,1,3.733,2.20454545454545,88
16985679,Hobbit House in Artistic Oasis near Venice and LAX,City of Los Angeles,Del Rey,33.99,-118.43,Private room,60,100,3.417,2.20454545454545,88
19160343,Tranquil Outdoor Living in This Architect Designed Home,City of Los Angeles,Del Rey,33.99,-118.43,Entire home/apt,255,67,3.267,2.20454545454545,88
21949364,Venice Adjacent Garden Oasis,City of Los Angeles,Del Rey,33.99,-118.43,Entire home/apt,124,39,3.429,2.20454545454545,88
22850491,Peaceful Culver City Oasis,City of Los Angeles,Del Rey,33.99,-118.43,Private room,80,123,3.65,2.20454545454545,88
24479521,Private Bright Remodeled Studio near Venice Beach,City of Los Angeles,Del Rey,33.99,-118.43,Entire home/apt,99,72,3.5,2.20454545454545,88
28257469,"Room #1 in clean, quiet, pleasant 4 bedroom house",City of Los Angeles,Del Rey,33.99,-118.43,Private room,76,365,3.529,2.20454545454545,88
28387951,JOEY's Place,City of Los Angeles,Del Rey,33.99,-118.43,Entire home/apt,135,341,3.5,2.20454545454545,88
31193865,Modern 2 story House Close To Beach (built 2019),City of Los Angeles,Del Rey,33.99,-118.43,Entire home/apt,297,79,3.6,2.20454545454545,88
31965007,West LA Modern Cottage,City of Los Angeles,Del Rey,33.99,-118.43,Entire home/apt,350,365,4.0,2.20454545454545,88
